Date,Open,High,Low,Close,Volume
12/31/2025,"189.57","190.56","186.49","186.50","120,100,492"
12/30/2025,"188.24","188.99","186.93","187.54","97,687,273"
12/29/2025,"187.71","188.76","185.91","188.22","120,006,094"
12/26/2025,"189.92","192.69","188.00","190.53","139,740,297"
12/24/2025,"187.94","188.91","186.59","188.61","65,528,551"
12/23/2025,"182.97","189.33","182.90","189.21","174,873,594"
12/22/2025,"183.92","184.16","182.35","183.69","129,064,398"
12/19/2025,"176.67","181.45","176.34","180.99","324,925,875"
12/18/2025,"174.53","176.15","171.82","174.14","176,096,000"
12/17/2025,"176.10","176.13","170.31","170.94","222,775,500"
12/16/2025,"176.26","178.49","174.90","177.72","148,588,094"
12/15/2025,"177.94","178.42","175.03","176.29","164,775,594"
12/12/2025,"181.11","182.82","174.62","175.02","204,274,891"
12/11/2025,"180.28","181.32","176.62","180.93","182,136,609"
12/10/2025,"184.97","185.48","182.04","183.78","162,785,406"
12/09/2025,"185.56","185.72","183.32","184.97","144,719,703"
12/08/2025,"182.64","188.00","182.40","185.55","204,378,094"
12/05/2025,"183.89","184.66","180.91","182.41","143,971,109"
12/04/2025,"181.62","184.52","179.96","183.38","167,364,891"
12/03/2025,"181.08","182.45","179.11","179.59","165,138,000"
12/02/2025,"181.76","185.66","180.00","181.46","182,632,188"
12/01/2025,"174.76","180.30","173.68","179.92","181,564,000"
11/28/2025,"179.01","179.29","176.50","177.00","121,178,000"
11/26/2025,"181.63","182.91","178.24","180.26","183,852,000"
11/25/2025,"174.91","178.16","169.55","177.82","320,600,281"
11/24/2025,"179.49","183.50","176.48","182.55","256,618,297"
11/21/2025,"181.24","184.56","172.93","178.88","346,926,219"
11/20/2025,"195.95","196.00","179.85","180.64","343,504,812"
11/19/2025,"184.79","187.86","182.83","186.52","247,246,406"
11/18/2025,"183.38","184.80","179.65","181.36","213,598,891"
11/17/2025,"185.97","189.00","184.32","186.60","173,628,891"
11/14/2025,"182.86","191.01","180.58","190.17","186,591,906"
11/13/2025,"191.05","191.44","183.85","186.86","207,423,109"
11/12/2025,"195.72","195.89","191.13","193.80","154,935,297"
11/11/2025,"195.16","195.42","191.30","193.16","176,483,297"
